web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4-src
"1732824713-83","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement meublé à louer cité keur gorgui","https://www.dakarvente.com/annonce-5581-appartement-meubl-louer-cit-keur-gorgui.html","Appartement meublé à louer cité keur gorgui","35.000  FCFA","Point E","media/annonces/pics/d2ee33579ea454906e6d7ef7b5e03e05.jpg"
"1732824718-84","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement Meublé De 3 Pièces - Cité Keur Gorgui","https://www.dakarvente.com/annonce-5595-appartement-meubl-de-3-pices-cit-keur-gorgui.html","Appartement Meublé De 3 Pièces - Cité Keur Gorgui","35.000  FCFA","Point E","media/annonces/pics/6c18904e8d9aa3bc849acd33890ae3f8.jpg"
"1732824722-85","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement Meublé De 3 Pièces - Cité Keur Gorgui","https://www.dakarvente.com/annonce-5596-appartement-meubl-de-3-pices-cit-keur-gorgui.html","Appartement Meublé De 3 Pièces - Cité Keur Gorgui","35.000  FCFA","Point E","media/annonces/pics/406d2022916a98a0135d7b22c17de125.jpg"
"1732824725-86","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","A louer un Appartement de grand standing à Ngor","https://www.dakarvente.com/annonce-5606-a-louer-un-appartement-de-grand-standing-ngor.html","","","",""
"1732824730-87","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","LOCATION PLATEAUX DE BUREAUX","https://www.dakarvente.com/annonce-5646-location-plateaux-de-bureaux.html","LOCATION PLATEAUX DE BUREAUX","7.500  FCFA","VDN","media/annonces/pics/6226210454b9c83ccdf2fd5f40ce04b4.jpg"
"1732824734-88","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Appartement meublé à louer à la cité keur gorgui","https://www.dakarvente.com/annonce-5663-appartement-meubl-louer-la-cit-keur-gorgui.html","Appartement meublé à louer à la cité keur gorgui","35.000  FCFA","Point E","media/annonces/pics/6ce87dc4524be77f99487b4007661689.jpeg"
"1732824739-89","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Location Studio meublé - Almadies","https://www.dakarvente.com/annonce-5667-location-studio-meubl-almadies.html","Location Studio meublé - Almadies","30.000  FCFA","Point E","media/annonces/pics/f26aa26ac9271bdc554fbca2dfe87ad7.jpg"
"1732824744-90","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Location appartement meublé 3 piéces - Cité Keur gorgui","https://www.dakarvente.com/annonce-5668-location-appartement-meubl-3-pices-cit-keur-gorgui.html","Location appartement meublé 3 piéces - Cité Keur gorgui","30.000  FCFA","Point E","media/annonces/pics/49a46e0f7bfcb1ec0514ef9befbc7dea.jpg"
"1732824748-91","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","Location appartements 2 pièces - Point E","https://www.dakarvente.com/annonce-5669-location-appartements-2-pices-point-e.html","Location appartements 2 pièces - Point E","30.000  FCFA","Point E","media/annonces/pics/7dca29c6a0c343dbc5faf434f8e6ed4d.jpg"
"1732824754-92","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=36","A louer des appartements neufs au Point E","https://www.dakarvente.com/annonce-5751-a-louer-des-appartements-neufs-au-point-e.html","A louer des appartements neufs au Point E","450.000  FCFA","Point E","media/annonces/pics/4e40876bd4d322168eb080d5ade1b326.jpg"
