web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590497-43","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","TERRAIN 150m2 TITRE FONCIER KOUNOUNE","https://www.dakarvente.com/annonce-2381-terrain-150m2-titre-foncier-kounoune.html","TERRAIN 150m2 TITRE FONCIER KOUNOUNE","7.500.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590501-44","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2490-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590507-45","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A Bazarder VILLA Neuve  à Tivaoune Peulh","https://www.dakarvente.com/annonce-2492-a-bazarder-villa-neuve-tivaoune-peulh.html","A Bazarder VILLA Neuve  à Tivaoune Peulh","1.300.000  FCFA","Khar Yalla","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590511-46","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","https://www.dakarvente.com/annonce-2491-terrains-225m2-yenn-vue-sur-mer-et-aroport-aibd.html","Terrains 225m2 à Yenn vue sur mer et Aéroport AIBD","1.300.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590515-47","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","WANTERR TERRAINS 225m2 à YENN vue sur mer et AIBD","https://www.dakarvente.com/annonce-2634-wanterr-terrains-225m2-yenn-vue-sur-mer-et-aibd.html","WANTERR TERRAINS 225m2 à YENN vue sur mer et AIBD","1.200.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590520-48","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Bourguiba","https://www.dakarvente.com/annonce-2856-a-vendre-un-terrain-bourguiba.html","A vendre un terrain à Bourguiba","750.000.000  FCFA","Biscuiterie","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590524-49","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain au cap manuel","https://www.dakarvente.com/annonce-2864-a-vendre-un-terrain-au-cap-manuel.html","A vendre un terrain au cap manuel","1.500.000  FCFA","Plateau","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590533-50","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Fann résidence","https://www.dakarvente.com/annonce-2884-a-vendre-un-terrain-fann-rsidence.html","A vendre un terrain à Fann résidence","","Fann","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590538-51","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Keur Gorgui","https://www.dakarvente.com/annonce-2932-a-vendre-un-terrain-keur-gorgui.html","A vendre un terrain à Keur Gorgui","185.000.000  FCFA","Cité Keur Gorgui","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590547-52","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain 10Ha agricole à vendre à Saint Louis","https://www.dakarvente.com/annonce-2940-terrain-10ha-agricole-vendre-saint-louis.html","Terrain 10Ha agricole à vendre à  Saint Louis","15.000.000  FCFA","Saint Louis","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590552-53","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à KEUR MASSAR","https://www.dakarvente.com/annonce-2934-a-vendre-un-terrain-keur-massar.html","A vendre un terrain à KEUR MASSAR","10.500.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590567-54","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à Saly","https://www.dakarvente.com/annonce-3421-terrain-saly.html","Terrain à Saly","60.000.000  FCFA","Saly","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590573-55","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à Guereo","https://www.dakarvente.com/annonce-3422-terrain-guereo.html","Terrain à Guereo","6.000.000  FCFA","Mbour","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
